Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1719.8117645125747
FDW14,OUT017,1367.4736203181255
NCN55,OUT010,593.7706266642733
FDQ58,OUT017,2411.5270700290603
FDY38,OUT027,5947.936692745542
FDH56,OUT046,1920.779419016281
FDL48,OUT018,607.1944617163285
FDC48,OUT027,2063.723961041326
FDN33,OUT045,1598.6828820988171
FDA36,OUT017,3291.5040511619836
FDT44,OUT017,1930.7408736680952
FDQ56,OUT045,1347.9015676702286
NCC54,OUT019,577.7462138181534
FDU11,OUT049,1981.505629853051
DRL59,OUT013,765.6886477518433
FDM24,OUT049,2376.140407832316
FDI57,OUT045,3171.809866918305
DRC12,OUT018,2790.738630733519
NCM42,OUT027,2835.443501207505
FDA46,OUT010,503.55252139891326
FDA31,OUT013,2973.103480464987
NCJ31,OUT035,3642.277085581515
FDG52,OUT046,748.6014491716213
NCL19,OUT019,342.6642831067812
FDS10,OUT035,3039.3990238875995
FDX22,OUT010,589.690680184943
NCF19,OUT035,748.6014491716213
NCE06,OUT046,2565.742243649372
DRC27,OUT046,4164.349847930315
FDE21,OUT035,1982.3696512932543
NCR42,OUT019,89.28333847667747
FDX51,OUT018,2830.8320862047008
NCR06,OUT018,513.4868024205997
FDU31,OUT027,5415.403400912506
FDU59,OUT017,2570.135100571693
FDR03,OUT027,5354.489424846545
FDS49,OUT027,2039.9876999642368
FDD48,OUT010,255.37039492273666
NCF18,OUT017,3039.2545286472528
NCD43,OUT027,2702.065849781551
NCD54,OUT018,2142.067112886976
FDY19,OUT010,255.8301909299385
NCY54,OUT017,2973.6442648675666
NCL19,OUT018,2326.550182879607
FDP23,OUT010,547.7440311990271
FDC26,OUT013,1744.6681227644774
FDR14,OUT010,165.91709693926657
NCS41,OUT035,3191.5824506824933
FDF41,OUT035,3857.2709610215406
FDU34,OUT046,2101.335263938714
DRH11,OUT046,874.6243881493741
FDM03,OUT013,1670.0353056812153
FDS31,OUT017,3151.343634225783
FDJ20,OUT017,2055.4955521950505
FDV44,OUT027,4926.973524327641
FDG02,OUT049,3272.627901945534
FDA09,OUT013,3075.2885194289415
FDT04,OUT013,654.8977910547105
FDL58,OUT019,607.2895933032185
FDE52,OUT045,1388.557744413258
FDW12,OUT035,2451.4250055818875
FDL51,OUT017,3716.68833890082
NCY42,OUT027,3661.4281522789115
FDR07,OUT017,1555.9706423623302
FDN40,OUT045,2358.124490071132
FDB35,OUT027,2495.166585701125
FDA22,OUT017,2667.3975456457465
NCL06,OUT046,4343.288526146454
FDI35,OUT013,3116.3756692848906
NCW42,OUT045,3836.3561566544295
NCX06,OUT049,3039.86765117213
FDC37,OUT027,2666.704236403692
FDZ14,OUT018,1905.8994558941706
DRG49,OUT049,4252.077393552438
NCG06,OUT045,4150.908962022671
DRC36,OUT045,2967.9925948212203
FDV21,OUT019,297.2234814341539
FDB53,OUT046,2563.459802047272
DRP47,OUT019,593.0757508693916
FDA14,OUT013,2537.9132049331256
DRC24,OUT035,2588.123911966677
FDW21,OUT018,1332.0120352637196
NCH29,OUT046,1601.6733528989312
FDU58,OUT013,3350.3447978442396
FDY27,OUT017,3010.3250936538634
FDV56,OUT035,1701.1389846219424
FDT59,OUT046,3972.545107522583
FDB23,OUT046,3881.363898504005
FDR49,OUT045,755.3378935942857
FDB03,OUT010,606.6327919322738
FDN39,OUT045,2712.7251443857244
FDX02,OUT027,5648.248808508365
FDQ16,OUT027,2667.0607991164525
FDU35,OUT018,1321.6436346308788
NCT29,OUT013,2009.4688557976108
FDZ27,OUT046,763.6113885698294
FDN57,OUT017,2157.3199321319535
FDA03,OUT018,2373.5080451561244
FDZ36,OUT045,3334.380143701783
NCU05,OUT013,1228.9416186614735
FDT39,OUT018,2437.380121330672
FDK60,OUT017,1585.3570788213692
FDZ25,OUT017,2902.306214673941
FDG12,OUT046,2108.176540648235
DRB01,OUT019,499.4035946171831
NCC43,OUT027,5978.1931330582265
FDX13,OUT019,598.2205317174131
FDM22,OUT049,813.480745998531
FDJ03,OUT027,1207.2318667092723
FDU14,OUT018,3445.2064160937084
FDB33,OUT010,423.05609062313334
FDP27,OUT046,3330.3915182351448
FDO38,OUT010,207.54082301753485
FDE28,OUT027,5947.936692745542
FDO27,OUT035,1604.2372025210632
DRL23,OUT027,2694.9717820887613
FDS28,OUT046,873.7006762362807
FDX24,OUT013,1487.1994422066093
FDZ02,OUT035,1606.8398512901376
FDL46,OUT045,1949.3345866359398
FDS60,OUT027,4619.544081713745
NCO06,OUT017,599.7475635870298
FDO16,OUT035,1378.395346694178
FDC60,OUT049,1378.8714484448085
FDA48,OUT018,3410.9745422685855
FDZ36,OUT027,4953.282580812385
FDK27,OUT045,2056.759813559156
FDW23,OUT018,513.8400670772587
FDM14,OUT018,1343.1818293720903
FDM14,OUT013,1718.7639972743011
FDW60,OUT018,2651.4389829057386
FDE21,OUT013,1946.3377222966315
NCM42,OUT035,1727.3593694606693
FDY59,OUT010,222.13939934741066
DRI49,OUT049,1248.8975145661047
FDT28,OUT019,338.8159576559462
FDQ22,OUT018,513.4868024205997
FDR60,OUT049,1216.1582307514357
FDC50,OUT019,225.58149896802001
FDV24,OUT013,2380.192156477977
DRF48,OUT010,538.7434410623459
FDQ47,OUT046,643.7565971129369
DRN36,OUT049,1580.2990622518992
NCY06,OUT035,2133.133450712811
FDE52,OUT035,1383.7850762755288
NCB54,OUT045,2063.7395480143737
NCF31,OUT035,2535.579093907301
FDJ08,OUT027,4887.5648532900705
NCC07,OUT017,1702.0293169140182
NCD19,OUT027,1705.8698700057284
FDL46,OUT049,2091.198269940594
FDM20,OUT045,4196.5460702667615
NCI06,OUT010,454.31416573903306
DRM11,OUT035,4596.834157084339
NCH07,OUT018,2381.0083634548905
FDS23,OUT013,2062.587052053703
FDO49,OUT018,581.9610932419924
FDS35,OUT049,1102.8433883673972
DRK39,OUT045,1316.4201319602462
DRI39,OUT049,878.599574130525
FDV04,OUT017,2467.9246573164965
NCN14,OUT035,3058.452044178908
FDH08,OUT013,3955.291417638786
FDS20,OUT046,3238.4342107558377
FDV40,OUT049,1167.8425400872488
FDZ48,OUT010,241.77207869033165
FDS24,OUT027,2385.146946363833
FDK44,OUT049,2863.441760758589
FDS48,OUT045,2541.5956243257942
FDK26,OUT010,511.1791316102597
FDD23,OUT045,3179.7665326830374
NCH54,OUT017,2750.4974371751014
NCP14,OUT010,231.09390334100343
FDM60,OUT010,95.88554145269985
FDV24,OUT017,2373.254406688256
FDH08,OUT018,3238.6699227756717
FDS12,OUT027,3430.6095594256335
FDR39,OUT027,4454.350650682402
FDP12,OUT027,1036.0317327829066
DRF60,OUT027,5960.553703335031
FDC09,OUT035,1665.3189421796374
FDF50,OUT018,3300.3799560328503
FDG28,OUT035,4259.447580804999
NCE19,OUT017,872.2254435405745
NCM53,OUT010,241.69702033695285
NCN18,OUT049,1800.440366429468
FDF32,OUT035,3424.238358495527
FDF11,OUT013,4185.368754209903
DRI59,OUT049,3936.4113106104055
NCG54,OUT035,2907.5178538368673
FDM44,OUT046,1625.5526359565845
FDT57,OUT018,3255.805019523481
FDV24,OUT046,2395.010639397084
FDI50,OUT019,582.3061485357806
FDS09,OUT035,765.9676924566219
NCC31,OUT027,4228.856281204084
FDQ07,OUT019,546.173715015355
FDC22,OUT017,3364.270432069814
FDZ56,OUT046,2883.847306119231
FDZ40,OUT019,164.6490743118156
FDS46,OUT027,2962.171870571781
DRD24,OUT045,2167.6442626790595
FDV45,OUT017,3119.300383612085
FDL26,OUT045,2556.6422629573754
FDA56,OUT018,1902.3702790730065
FDN27,OUT046,2009.210601051043
FDM20,OUT049,4196.5460702667615
FDO16,OUT017,1359.178494656776
FDL03,OUT035,3044.682772276731
FDE58,OUT046,1958.5972072961647
FDI02,OUT027,3105.7548376970926
NCC55,OUT019,89.28333847667747
FDR03,OUT018,3041.3458070596143
FDB14,OUT017,1500.665229080282
FDR45,OUT013,4184.948366313208
NCN07,OUT017,2159.5380092108458
FDM51,OUT019,231.57211639400495
FDT52,OUT027,6001.120381679876
FDL26,OUT046,2578.3984956662043
NCZ42,OUT046,3951.095687033371
DRI47,OUT019,394.0703263408055
FDW40,OUT013,2148.472115219092
FDN34,OUT046,2885.9649425428834
FDS01,OUT035,3027.62661717599
NCG55,OUT045,1964.2296995268664
FDC11,OUT035,1350.03432143258
FDX35,OUT018,3385.5087964800223
NCB06,OUT046,2648.623834396379
FDR09,OUT019,593.1031087308064
FDC53,OUT017,1587.1435804067128
FDY45,OUT013,4193.42911450098
FDA22,OUT010,382.316904982125
FDE02,OUT035,1582.3880177103035
FDW21,OUT045,1670.6403226405084
FDV34,OUT046,1153.0546063163256
FDS59,OUT049,1713.6981866663575
NCW17,OUT017,2164.16088471386
NCK54,OUT046,1987.7123933305713
FDG17,OUT019,608.8428242113864
FDG35,OUT017,2878.3593764482653
FDD08,OUT010,95.88554145269985
NCO07,OUT017,3634.507980058856
FDJ10,OUT010,318.93576910059164
FDW36,OUT017,1686.9128976227166
FDW21,OUT010,228.23224808100903
FDY19,OUT017,1990.0350053851391
DRE03,OUT013,748.6014491716213
NCC55,OUT049,657.7038257106848
FDH52,OUT010,203.8738964628002
FDO09,OUT017,4107.225269648563
