Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1753.0912436078943
FDW14,OUT017,1530.5354831268196
NCN55,OUT010,1895.4050170783594
FDQ58,OUT017,2662.3961580105824
FDY38,OUT027,5051.384600533827
FDH56,OUT046,1987.978646053627
FDL48,OUT018,554.2029021473427
FDC48,OUT027,2723.178179939845
FDN33,OUT045,1528.1145556062838
FDA36,OUT017,3177.050873571803
FDT44,OUT017,2022.8859536685777
FDQ56,OUT045,1368.628521931605
NCC54,OUT019,1974.2266865496786
FDU11,OUT049,2034.7200529732218
DRL59,OUT013,873.2576444874721
FDM24,OUT049,2488.8333346213767
FDI57,OUT045,3162.013511350873
DRC12,OUT018,2825.0698703261587
NCM42,OUT027,3159.6047732395964
FDA46,OUT010,1116.3145435029
FDA31,OUT013,2878.4567252637207
NCJ31,OUT035,3812.8903994954453
FDG52,OUT046,845.3008670132403
NCL19,OUT019,435.2092679264024
FDS10,OUT035,3001.7154630387668
FDX22,OUT010,1520.9600012283627
NCF19,OUT035,900.8193932255235
NCE06,OUT046,2612.61344620795
DRC27,OUT046,3862.643210353912
FDE21,OUT035,2043.0737353298318
NCR42,OUT019,0.0
FDX51,OUT018,2915.554817601893
NCR06,OUT018,458.47365837491816
FDU31,OUT027,4950.152556847213
FDU59,OUT017,2811.6803701564204
FDR03,OUT027,4720.937271542105
FDS49,OUT027,2686.727346036452
FDD48,OUT010,0.0
NCF18,OUT017,3155.2190230375127
NCD43,OUT027,3067.1773564450705
NCD54,OUT018,2015.6616092803743
FDY19,OUT010,0.0
NCY54,OUT017,2847.8534943514533
NCL19,OUT018,2040.8562839118676
FDP23,OUT010,1643.92259006713
FDC26,OUT013,1843.5323785937508
FDR14,OUT010,0.0
NCS41,OUT035,3085.6649180485547
FDF41,OUT035,4074.258970035051
FDU34,OUT046,2010.8171298384696
DRH11,OUT046,933.694843188845
FDM03,OUT013,1728.8167564804899
FDS31,OUT017,3099.489612877587
FDJ20,OUT017,2107.2121147874714
FDV44,OUT027,4480.70288873899
FDG02,OUT049,3092.6421604218485
FDA09,OUT013,3001.4677758133766
FDT04,OUT013,683.9289505709312
FDL58,OUT019,2363.251821108439
FDE52,OUT045,1407.0955896767118
FDW12,OUT035,2503.871766134078
FDL51,OUT017,3505.511837976257
NCY42,OUT027,3669.650238879447
FDR07,OUT017,1679.6541346946615
FDN40,OUT045,2457.5171960898006
FDB35,OUT027,2943.4078367141046
FDA22,OUT017,2857.3626555464143
NCL06,OUT046,4197.50969514469
FDI35,OUT013,3032.033255049246
NCW42,OUT045,3476.3245384977927
NCX06,OUT049,2893.6872900810413
FDC37,OUT027,3143.3157154669607
FDZ14,OUT018,1690.3261599370162
DRG49,OUT049,3959.164551815862
NCG06,OUT045,4049.679576624185
DRC36,OUT045,2805.139768946785
FDV21,OUT019,31.422635454888223
FDB53,OUT046,2402.058708784054
DRP47,OUT019,2042.4667264547752
FDA14,OUT013,2296.845354927049
DRC24,OUT035,2585.1463696680876
FDW21,OUT018,1453.592236948898
NCH29,OUT046,1676.5582648520067
FDU58,OUT013,3151.157018983373
FDY27,OUT017,2939.8209200424462
FDV56,OUT035,1950.5082186671498
FDT59,OUT046,3786.109229897309
FDB23,OUT046,3745.775837894107
FDR49,OUT045,702.0686524142075
FDB03,OUT010,1791.3093967257155
FDN39,OUT045,2657.840235721713
FDX02,OUT027,4878.978752883282
FDQ16,OUT027,3169.0581758866756
FDU35,OUT018,1399.570835846942
NCT29,OUT013,2051.112749823471
FDZ27,OUT046,790.9309967970476
FDN57,OUT017,2367.6614977638237
FDA03,OUT018,2021.5385465654836
FDZ36,OUT045,2989.820237224383
NCU05,OUT013,1407.2293453252787
FDT39,OUT018,2239.694954703664
FDK60,OUT017,1697.082575677603
FDZ25,OUT017,2896.34548244653
FDG12,OUT046,2082.4514301734307
DRB01,OUT019,1200.321472252108
NCC43,OUT027,5355.8724957229715
FDX13,OUT019,2136.4780006311776
FDM22,OUT049,921.1489308472519
FDJ03,OUT027,2139.482164330184
FDU14,OUT018,3670.135948662384
FDB33,OUT010,684.8598495509359
FDP27,OUT046,3053.7521906074253
FDO38,OUT010,0.0
FDE28,OUT027,5119.4692716609425
FDO27,OUT035,1631.982113279024
DRL23,OUT027,3093.045789478594
FDS28,OUT046,1019.040023991678
FDX24,OUT013,1593.790176077804
FDZ02,OUT035,1665.5345010442543
FDL46,OUT045,1822.126529336063
FDS60,OUT027,4262.957358571133
NCO06,OUT017,616.9015076550422
FDO16,OUT035,1574.7518855661183
FDC60,OUT049,1450.3815536783077
FDA48,OUT018,3224.526480600456
FDZ36,OUT027,4437.956281637205
FDK27,OUT045,1932.8769165932172
FDW23,OUT018,389.98465926767676
FDM14,OUT018,1546.9796081090026
FDM14,OUT013,1836.254411776259
FDW60,OUT018,2669.7128948624304
FDE21,OUT013,1981.9361078267975
NCM42,OUT035,1909.570265190181
FDY59,OUT010,0.0
DRI49,OUT049,1265.9997329945327
FDT28,OUT019,600.415231153398
FDQ22,OUT018,395.9203697891644
FDR60,OUT049,1203.3782174609078
FDC50,OUT019,0.0
FDV24,OUT013,2489.370281090625
DRF48,OUT010,1196.2982895750902
FDQ47,OUT046,674.232276894676
DRN36,OUT049,1597.697720045442
NCY06,OUT035,2161.650936740596
FDE52,OUT035,1549.8533882188494
NCB54,OUT045,2056.618315283238
NCF31,OUT035,2569.97771864284
FDJ08,OUT027,4420.9340411671
NCC07,OUT017,1825.422601088867
NCD19,OUT027,2281.6015210369223
FDL46,OUT049,1934.9226423750806
FDM20,OUT045,3947.9648320205015
NCI06,OUT010,973.8232745233399
DRM11,OUT035,4230.145882552984
NCH07,OUT018,2244.6052631706552
FDS23,OUT013,2164.6122303051816
FDO49,OUT018,659.7422503692651
FDS35,OUT049,1102.7158268376224
DRK39,OUT045,1252.1133786631544
DRI39,OUT049,863.1125330016221
FDV04,OUT017,2696.119750077589
NCN14,OUT035,2958.41864004737
FDH08,OUT013,3822.7653165702504
FDS20,OUT046,3008.4036116190982
FDV40,OUT049,1282.2595585210074
FDZ48,OUT010,0.0
FDS24,OUT027,2832.160188203896
FDK44,OUT049,2782.400846043529
FDS48,OUT045,2404.004584252383
FDK26,OUT010,1169.943850510288
FDD23,OUT045,3101.075833252864
NCH54,OUT017,2696.2280397400027
NCP14,OUT010,0.0
FDM60,OUT010,0.0
FDV24,OUT017,2554.3533302858414
FDH08,OUT018,3466.859562888174
FDS12,OUT027,3366.530232646546
FDR39,OUT027,4253.595577321321
FDP12,OUT027,2032.4309414323216
DRF60,OUT027,5184.438731272923
FDC09,OUT035,1846.197332007796
